id,date_time,is_holiday,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,air_pollution_index,traffic_volume
18707,10/1/2015 5:00,None,77,7,296,1,1,278.27,0,0,1,Clear,162,2922
31577,3/8/2017 2:00,None,36,3,140,6,6,272.41,0,0,90,Snow,224,303
14307,5/13/2014 19:00,None,92,0,112,9,9,284.15,0,0,32,Clouds,135,3484
20164,12/23/2015 14:00,None,92,3,150,4,4,273.74,0,0.32,90,Rain,135,5182
11989,2/3/2014 22:00,None,85,2,220,5,5,257.47,0,0,75,Clouds,183,1628
22666,4/22/2016 2:00,None,77,3,231,4,4,276.542,0,0,0,Clear,182,442
28591,11/28/2016 10:00,None,88,6,190,2,2,284.02,0,0,90,Thunderstorm,205,4052
11920,2/1/2014 1:00,None,70,3,270,9,9,256.76,0,0,0,Clear,292,644
3188,1/27/2013 5:00,None,100,6,100,9,9,256.12,0,0,20,Clouds,201,462
8942,9/14/2013 22:00,None,40,4,180,6,6,287.15,0,0,90,Mist,190,2506
32292,4/2/2017 12:00,None,37,5,330,1,1,282.35,0,0,90,Drizzle,186,4383
7366,7/1/2013 23:00,None,63,3,6,6,6,291.14,0,0,1,Clear,166,1250
21522,2/27/2016 0:00,None,50,6,352,8,8,275.15,0,0,1,Clear,126,1420
25032,7/18/2016 6:00,None,93,2,320,5,5,289.858,0,0,92,Clouds,44,5079
8167,8/4/2013 0:00,None,40,4,180,3,3,287.31,0,0,92,Clouds,250,1507
4704,4/1/2013 6:00,None,80,5,80,3,3,273.57,0,0,90,Mist,213,5522
23153,5/9/2016 6:00,None,61,2,84,8,8,284.4,0,0,20,Clouds,243,5902
9284,10/5/2013 7:00,None,88,3,299,1,1,287.71,0,0,90,Rain,258,2396
31956,3/23/2017 3:00,None,32,2,20,8,8,275.68,0,0,90,Snow,285,329
32017,3/24/2017 8:00,None,72,3,130,7,7,275.84,0,0,90,Drizzle,66,5803
27560,10/24/2016 16:00,None,74,5,291,6,6,284.056,0,0,0,Clear,211,6252
26614,9/14/2016 21:00,None,62,2,233,1,1,286.89,0,0,1,Clear,120,2317
11930,2/1/2014 11:00,None,76,2,310,1,1,264.97,0,0,0,Clear,61,4526
13641,4/13/2014 22:00,None,33,4,20,9,9,275.21,0,0,90,Clouds,31,2427
29580,12/29/2016 2:00,None,80,4,130,3,3,270.96,0,0,1,Clear,238,436
15251,7/5/2014 15:00,None,84,4,189,1,1,301.06,0,0,1,Clear,180,3666
29671,1/1/2017 21:00,None,82,9,270,1,1,270.49,0,0,90,Clouds,148,1777
6063,5/16/2013 11:00,None,93,3,151,1,1,290.67,0,0,1,Clear,88,5004
32021,3/24/2017 10:00,None,88,1,140,5,5,276.27,0,0,90,Mist,130,4747
19573,11/18/2015 18:00,None,93,1,59,4,4,279.22,0,0,90,Mist,66,4550
23895,6/3/2016 6:00,None,58,3,245,7,7,288.61,0,0,75,Clouds,201,5444
23210,5/10/2016 12:00,None,86,2,33,3,3,284.18,0.25,0,90,Mist,249,4888
5421,4/23/2013 6:00,None,71,0,0,5,5,275.17,0,0,90,Clouds,125,5461
26350,9/5/2016 19:00,None,93,2,80,7,7,296.4,0,0,90,Drizzle,70,2751
25897,8/21/2016 10:00,None,72,3,150,7,7,290.87,0,0,1,Clear,82,3182
18548,9/24/2015 8:00,None,89,4,310,9,9,290.75,0.51,0,90,Mist,42,5940
13946,4/26/2014 15:00,None,43,1,165,2,2,284.97,0,0,90,Clouds,112,3085
13790,4/20/2014 3:00,None,81,12,70,1,1,282.87,0.25,0,90,Rain,266,311
28644,11/29/2016 18:00,None,98,1,75,2,2,275.75,0,0,90,Drizzle,37,4017
6443,5/27/2013 13:00,None,59,0,188,9,9,286.81,0,0,90,Clouds,190,3436
32421,4/6/2017 9:00,None,72,5,191,7,7,277.21,0,0,1,Clear,271,5215
11504,1/15/2014 20:00,None,58,2,250,7,7,265.92,0,0,64,Clouds,246,2368
18230,9/13/2015 12:00,None,67,7,342,2,2,292.89,0,0,1,Clear,26,3765
6484,5/29/2013 4:00,None,44,8,270,1,1,285.03,0,0,90,Drizzle,28,757
15898,8/4/2014 22:00,None,65,4,190,5,5,293.92,0,0,1,Clear,133,1891
7536,7/9/2013 3:00,None,87,1,286,9,9,293.16,0,0,12,Mist,247,342
11841,1/28/2014 18:00,None,59,5,250,1,1,254.96,0,0,40,Clouds,80,3873
